!Series_title	"Strong Time Dependence of the 76-Gene Prognostic Signature"
!Series_geo_accession	"GSE7390"
!Series_status	"Public on Jun 11 2007"
!Series_submission_date	"Mar 28 2007"
!Series_last_update_date	"Aug 10 2018"
!Series_pubmed_id	"17545524"
!Series_pubmed_id	"25788628"
!Series_summary	"Background: Recently a 76-gene prognostic signature able to predict distant metastases in lymph node-negative (N-) breast cancer patients was reported. The aims of this study conducted by TRANSBIG were to independently validate these results and to compare the outcome with clinical risk assessment. Materials and Methods: Gene expression profiling of frozen samples from 198 N- systemically untreated patients was performed at the Bordet Institute, blinded to clinical data and independent of Veridex. Genomic risk was defined by Veridex, blinded to clinical data. Survival analyses, done by an independent statistician, were performed with the genomic risk and adjusted for the clinical risk, defined by Adjuvant!Online. Results: The actual 5- and 10-year time to distant metastasis (TDM) were 98% (88%-100%) and 94% (83%-98%) respectively for the good profile group and 76% (68%- 82%) and 73% (65%-79%) for the poor profile group. The actual 5- and 10-year overall survival (OS) were 98% (88%-100%) and 87% (73%-94%) respectively for the good profile group and 84% (77%-89%) and 72% (63%-78%) for the poor profile group. We observed a strong time-dependency of this signature, leading to an adjusted HR of 13.58 (1.85-99.63) and 8.20 (1.10-60.90) at 5 years, and 5.11 (1.57-16.67) and 2.55 (1.07-6.10) at 10 years for TDM and OS respectively. Conclusion: This independent validation confirmed the performance of the 76-gene signature and adds to the growing evidence that gene expression signatures are of clinical relevance, especially for identifying patients at high risk of early distant metastases."
!Series_summary	"Keywords: disease state analysis"
!Series_overall_design	"dataset of microarray experiments from primary breast tumors used to validate the 76-gene signature (VERIDEX). No replicate, no reference sample."
!Series_type	"Expression profiling by array"
!Series_contributor	"Christine,,Desmedt"
!Series_contributor	"Fanny,,Piette"
!Series_contributor	"Sherene,,Loi"
!Series_contributor	"Yixin,,Wang"
!Series_contributor	"Francoise,,Lallemand"
!Series_contributor	"Benjamin,,Haibe-Kains"
!Series_contributor	"Giuseppe,,Viale"
!Series_contributor	"Mauro,,Delorenzi"
!Series_contributor	"Yhi,,Zhang"
!Series_contributor	"Mahasti,,Saghatchian"
!Series_contributor	"Jonas,,Bergh"
!Series_contributor	"Rosette,,Lidereau"
!Series_contributor	"Paul,,Ellis"
!Series_contributor	"Adrian,,Harris"
!Series_contributor	"Jan,G,Klijn"
!Series_contributor	"John,A,Foekens"
!Series_contributor	"Fatima,,Cardoso"
!Series_contributor	"Martine,J,Piccart"
!Series_contributor	"Marc,,Buyse"
!Series_contributor	"Christos,,Sotiriou"
!Series_sample_id	"GSM177885 GSM177886 GSM177887 GSM177888 GSM177889 GSM177890 GSM177891 GSM177892 GSM177893 GSM177894 GSM177895 GSM177896 GSM177897 GSM177898 GSM177899 GSM177900 GSM177901 GSM177902 GSM177903 GSM177904 GSM177905 GSM177906 GSM177907 GSM177908 GSM177909 GSM177910 GSM177911 GSM177912 GSM177913 GSM177914 GSM177915 GSM177916 GSM177917 GSM177918 GSM177919 GSM177920 GSM177921 GSM177922 GSM177923 GSM177924 GSM177925 GSM177926 GSM177927 GSM177928 GSM177929 GSM177930 GSM177931 GSM177932 GSM177933 GSM177934 GSM177935 GSM177936 GSM177937 GSM177938 GSM177939 GSM177940 GSM177941 GSM177942 GSM177943 GSM177944 GSM177945 GSM177946 GSM177947 GSM177948 GSM177949 GSM177950 GSM177951 GSM177952 GSM177953 GSM177954 GSM177955 GSM177956 GSM177957 GSM177958 GSM177959 GSM177960 GSM177961 GSM177962 GSM177963 GSM177964 GSM177965 GSM177966 GSM177967 GSM177968 GSM177969 GSM177970 GSM177971 GSM177972 GSM177973 GSM177974 GSM177975 GSM177976 GSM177977 GSM177978 GSM177979 GSM177980 GSM177981 GSM177982 GSM177983 GSM177984 GSM177985 GSM177986 GSM177987 GSM177988 GSM177989 GSM177990 GSM177991 GSM177992 GSM177993 GSM177994 GSM177995 GSM177996 GSM177997 GSM177998 GSM177999 GSM178000 GSM178001 GSM178002 GSM178003 GSM178004 GSM178005 GSM178006 GSM178007 GSM178008 GSM178009 GSM178010 GSM178011 GSM178012 GSM178013 GSM178014 GSM178015 GSM178016 GSM178017 GSM178018 GSM178019 GSM178020 GSM178021 GSM178022 GSM178023 GSM178024 GSM178025 GSM178026 GSM178027 GSM178028 GSM178029 GSM178030 GSM178031 GSM178032 GSM178033 GSM178034 GSM178035 GSM178036 GSM178037 GSM178038 GSM178039 GSM178040 GSM178041 GSM178042 GSM178043 GSM178044 GSM178045 GSM178046 GSM178047 GSM178048 GSM178049 GSM178050 GSM178051 GSM178052 GSM178053 GSM178054 GSM178055 GSM178056 GSM178057 GSM178058 GSM178059 GSM178060 GSM178061 GSM178062 GSM178063 GSM178064 GSM178065 GSM178066 GSM178067 GSM178068 GSM178069 GSM178070 GSM178071 GSM178072 GSM178073 GSM178074 GSM178075 GSM178076 GSM178077 GSM178078 GSM178079 GSM178080 GSM178081 GSM178082 "
!Series_contact_name	"Benjamin,,Haibe-Kains"
!Series_contact_email	"benjamin.haibe.kains@utoronto.ca"
!Series_contact_phone	"+14165818626"
!Series_contact_laboratory	"Bioinformatics and Computational Genomics"
!Series_contact_department	"Princess Margaret Research"
!Series_contact_institute	"Princess Margaret Cancer Centre"
!Series_contact_address	"610 University Avenue"
!Series_contact_city	"Toronto"
!Series_contact_state	"Ontario"
!Series_contact_zip/postal_code	"M5G 2M9"
!Series_contact_country	"Canada"
!Series_supplementary_file	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE7nnn/GSE7390/suppl/GSE7390_RAW.tar"
!Series_supplementary_file	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE7nnn/GSE7390/suppl/GSE7390_transbig2006affy.RData.gz"
!Series_supplementary_file	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE7nnn/GSE7390/suppl/GSE7390_transbig2006affy_README.txt"
!Series_supplementary_file	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE7nnn/GSE7390/suppl/GSE7390_transbig2006affy_demo.txt.gz"
!Series_platform_id	"GPL96"
!Series_platform_taxid	"9606"
!Series_sample_taxid	"9606"
!Series_relation	"BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA97873"

